node1,node2,distance,time_minutes,gradient,max_gradient,min_gradient,sidewalk,signal,road_width,illumination,nature,park,garbage,toilet,crosswalk
61,62,92.62,1.157708821,-0.00475059,-0.004750816,-0.004750816,0,0,1,1,0,0,0,0,0
61,58,52.91,0.661312498,-0.003402,-0.003402345,-0.003402345,0,0,1,0,1,0,0,0,0
61,59,86.48,1.080947735,-0.00011563,-0.000115639,-0.000115639,0,0,1,1,0,0,1,0,0
62,63,53.03,0.662973614,-0.00622289,-0.006222088,-0.006222088,0,0,1,1,0,0,0,0,0
62,64,115.62,1.445260078,-0.00631379,-0.004742364,-0.008358155,0,0,1,1,0,1,1,0,0
62,61,92.62,1.157708821,0.00475059,0.004750816,0.004750816,0,0,1,1,0,0,0,0,0
63,65,105.2,1.314982466,-0.00608365,-0.006083844,-0.006083844,0,0,1,1,0,0,0,0,0
63,68,45.03,0.562890091,-0.00532978,-0.005329713,-0.005329713,0,0,1,0,0,0,0,0,0
63,58,91.14,1.13929325,0.00647356,0.006473447,0.006473447,0,0,1,1,1,0,0,0,0
63,62,53.03,0.662973614,0.00622289,0.006222088,0.006222088,0,0,1,1,0,0,0,0,0
64,65,42.36,0.52950701,-0.00566572,-0.005665738,-0.005665738,0,0,2,0,0,0,0,0,0
64,62,115.62,1.445260078,0.00631379,0.008358155,0.004742364,0,0,1,1,0,1,1,0,0
65,70,42.53,0.531699828,-0.0058782,-0.005877478,-0.005877478,0,0,2,1,0,0,0,0,0
65,108,106.06,1.325784055,-0.0020743,-0.002074249,-0.002074249,0,0,1,1,0,0,1,0,0
65,215,42.86,0.535836023,-0.00513299,-0.005132235,-0.005132235,0,0,2,1,0,0,0,0,0
65,63,105.2,1.314982466,0.00608365,0.006083844,0.006083844,0,0,1,1,0,0,0,0,0
65,64,42.36,0.52950701,0.00566572,0.005665738,0.005665738,0,0,2,0,0,0,0,0,0
66,68,87.29,1.091246891,-0.00687364,-0.006873034,-0.006873034,1,0,2,1,0,0,0,0,0
66,210,6.18,0.077260728,0.00485437,0.004853752,0.004853752,0,1,0,0,0,0,0,0,1
66,211,8.72,0.109016883,-0.00114679,-0.001146612,-0.001146612,0,1,0,0,0,0,0,0,1
66,58,47.28,0.590979262,0.00486464,0.004864864,0.004864864,0,0,1,0,0,0,0,0,0
67,97,41.08,0.513540577,-0.0070594,-0.007059014,-0.007059014,0,0,1,1,0,0,0,0,0
67,98,103.32,1.291595116,-0.01054975,-0.010549558,-0.010549558,0,0,1,1,0,0,1,0,0
67,104,43.15,0.539418551,0.00115875,0.001158656,0.001158656,0,0,1,1,0,0,0,0,0
67,211,40.23,0.502961603,0.00820283,0.008201697,0.008201697,0,0,2,1,0,0,1,0,0
67,212,40.55,0.506931455,0.00863132,0.00863068,0.00863068,0,0,2,1,0,0,1,0,0
68,69,40.01,0.500139224,-0.00874781,-0.008747899,-0.008747899,0,0,2,1,0,0,1,0,0
68,63,45.03,0.562890091,0.00532978,0.005329713,0.005329713,0,0,1,0,0,0,0,0,0
68,66,87.29,1.091246891,0.00687364,0.006873034,0.006873034,1,0,2,1,0,0,0,0,0
69,215,53.13,0.664127173,-0.00508187,-0.005081924,-0.005081924,1,0,2,1,0,0,0,0,0
69,68,40.01,0.500139224,0.00874781,0.008747899,0.008747899,0,0,2,1,0,0,1,0,0
70,117,111.98,1.399686896,-0.00098232,0.000271849,-0.002040362,1,0,2,1,0,0,1,0,0
70,215,6.29,0.078663555,0.00476948,0.004767192,0.004767192,0,1,0,0,0,0,0,0,1
70,216,9.3,0.116158891,-0.00430108,-0.004304489,-0.004304489,0,1,0,0,0,0,0,0,1
70,65,42.53,0.531699828,0.0058782,0.005877478,0.005877478,0,0,2,1,0,0,0,0,0
71,72,57.03,0.712832721,-0.00210416,-0.002104285,-0.002104285,0,0,1,1,0,0,0,0,0
71,74,101.7,1.271261516,-0.00629302,-0.006293086,-0.006293086,0,0,2,1,0,0,1,0,0
71,88,55.02,0.687797823,0.00854235,0.008542066,0.008542066,0,0,1,1,0,0,0,0,0
71,216,39.64,0.495501904,0.00958628,0.00958668,0.00958668,0,0,2,1,0,0,0,0,0
71,217,39.8,0.497458982,0.01080402,0.010805542,0.010805542,0,0,2,1,0,0,0,0,0
71,219,100.57,1.257206684,-0.00596599,-0.005965712,-0.005965712,0,0,2,1,0,0,1,0,0
72,73,88.9,1.111289672,-0.0071991,-0.00719903,-0.00719903,0,0,1,1,0,0,1,0,0
72,118,61.46,0.76829927,0.00097624,0.000976183,0.000976183,0,0,1,1,0,0,0,0,0
72,71,57.03,0.712832721,0.00210416,0.002104285,0.002104285,0,0,1,1,0,0,0,0,0
73,74,52.73,0.659119279,0.00227574,0.00227577,0.00227577,1,0,2,1,0,0,0,0,0
73,136,55.14,0.689234776,0.00707291,0.007073238,0.007073238,1,0,2,1,1,0,0,0,0
73,72,88.9,1.111289672,0.0071991,0.00719903,0.00719903,0,0,1,1,0,0,1,0,0
74,219,5.5,0.068761713,0.00727273,0.007271681,0.007271681,0,1,0,0,0,0,0,0,1
74,220,6.06,0.075720439,0.00330033,0.003301636,0.003301636,0,1,0,0,0,0,0,0,1
74,71,101.7,1.271261516,0.00629302,0.006293086,0.006293086,0,0,2,1,0,0,1,0,0
74,73,52.73,0.659119279,-0.00227574,-0.00227577,-0.00227577,1,0,2,1,0,0,0,0,0
75,76,37.37,0.467157599,-0.00428151,-0.00428125,-0.00428125,0,0,2,1,1,1,0,0,0
75,86,43.79,0.54737218,0.00753597,0.00753622,0.00753622,0,0,1,1,0,0,0,0,0
75,220,55.15,0.689463311,0.01668178,0.016681961,0.016681961,0,0,2,1,1,1,1,0,0
75,221,56.14,0.701872869,0.01710011,0.017099613,0.017099613,0,0,2,1,1,0,1,0,0
76,77,52.2,0.65260108,0.01302682,0.013025907,0.013025907,0,0,1,1,1,1,1,0,0
76,82,102.95,1.286805388,-0.00573094,-0.005731342,-0.005731342,0,0,2,1,0,0,1,0,0
76,83,74.72,0.934007181,-0.00240899,0.00133942,-0.008020081,0,0,1,1,0,0,0,0,0
76,75,37.37,0.467157599,0.00428151,0.00428125,0.00428125,0,0,2,1,1,1,0,0,0
77,78,95.39,1.19244857,-0.01132194,-0.011321969,-0.011321969,0,0,1,0,0,0,1,0,0
77,137,50.28,0.628583217,0.00954654,0.00954571,0.00954571,0,0,1,1,1,1,0,0,0
